TP	FP	FN	TN	TPR	FPR	Acc
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1111	0	0	1.0000	1.0000	0.1197
151	1110	0	1	1.0000	0.9991	0.1197
151	1110	0	1	1.0000	0.9991	0.1197
151	1110	0	1	1.0000	0.9991	0.1197
151	1110	0	1	1.0000	0.9991	0.1197
151	1109	0	2	1.0000	0.9982	0.1198
151	1109	0	2	1.0000	0.9982	0.1198
151	1108	0	3	1.0000	0.9973	0.1199
151	1107	0	4	1.0000	0.9964	0.1200
151	1106	0	5	1.0000	0.9955	0.1201
151	1105	0	6	1.0000	0.9946	0.1202
151	1105	0	6	1.0000	0.9946	0.1202
151	1102	0	9	1.0000	0.9919	0.1205
151	1101	0	10	1.0000	0.9910	0.1206
151	1097	0	14	1.0000	0.9874	0.1210
151	1097	0	14	1.0000	0.9874	0.1210
151	1096	0	15	1.0000	0.9865	0.1211
151	1096	0	15	1.0000	0.9865	0.1211
151	1094	0	17	1.0000	0.9847	0.1213
151	1091	0	20	1.0000	0.9820	0.1216
151	1088	0	23	1.0000	0.9793	0.1219
151	1084	0	27	1.0000	0.9757	0.1223
151	1079	0	32	1.0000	0.9712	0.1228
151	1073	0	38	1.0000	0.9658	0.1234
151	1068	0	43	1.0000	0.9613	0.1239
151	1066	0	45	1.0000	0.9595	0.1241
151	1058	0	53	1.0000	0.9523	0.1249
151	1053	0	58	1.0000	0.9478	0.1254
151	1047	0	64	1.0000	0.9424	0.1260
151	1041	0	70	1.0000	0.9370	0.1267
151	1035	0	76	1.0000	0.9316	0.1273
151	1026	0	85	1.0000	0.9235	0.1283
151	1016	0	95	1.0000	0.9145	0.1294
151	1010	0	101	1.0000	0.9091	0.1301
151	1003	0	108	1.0000	0.9028	0.1308
151	994	0	117	1.0000	0.8947	0.1319
151	984	0	127	1.0000	0.8857	0.1330
151	971	0	140	1.0000	0.8740	0.1346
151	957	0	154	1.0000	0.8614	0.1363
151	947	0	164	1.0000	0.8524	0.1375
151	929	0	182	1.0000	0.8362	0.1398
151	921	0	190	1.0000	0.8290	0.1409
151	908	0	203	1.0000	0.8173	0.1426
151	889	0	222	1.0000	0.8002	0.1452
151	873	0	238	1.0000	0.7858	0.1475
151	849	0	262	1.0000	0.7642	0.1510
151	830	0	281	1.0000	0.7471	0.1539
151	809	0	302	1.0000	0.7282	0.1573
151	791	0	320	1.0000	0.7120	0.1603
151	767	0	344	1.0000	0.6904	0.1645
151	746	0	365	1.0000	0.6715	0.1683
151	726	0	385	1.0000	0.6535	0.1722
151	699	0	412	1.0000	0.6292	0.1776
151	675	0	436	1.0000	0.6076	0.1828
151	656	0	455	1.0000	0.5905	0.1871
151	643	0	468	1.0000	0.5788	0.1902
151	624	0	487	1.0000	0.5617	0.1948
151	612	0	499	1.0000	0.5509	0.1979
151	597	0	514	1.0000	0.5374	0.2019
151	580	0	531	1.0000	0.5221	0.2066
151	565	0	546	1.0000	0.5086	0.2109
151	554	0	557	1.0000	0.4986	0.2142
151	544	0	567	1.0000	0.4896	0.2173
151	535	0	576	1.0000	0.4815	0.2201
151	519	0	592	1.0000	0.4671	0.2254
151	509	0	602	1.0000	0.4581	0.2288
151	492	0	619	1.0000	0.4428	0.2348
