Thr	TP	FP	FN	TN	TPR	FPR	Acc
0	144	183	7	928	0.9536	0.1647	0.4404
1	144	183	7	928	0.9536	0.1647	0.4404
2	144	183	7	928	0.9536	0.1647	0.4404
3	144	183	7	928	0.9536	0.1647	0.4404
4	144	183	7	928	0.9536	0.1647	0.4404
5	144	183	7	928	0.9536	0.1647	0.4404
6	144	183	7	928	0.9536	0.1647	0.4404
7	144	183	7	928	0.9536	0.1647	0.4404
8	144	183	7	928	0.9536	0.1647	0.4404
9	144	183	7	928	0.9536	0.1647	0.4404
10	144	183	7	928	0.9536	0.1647	0.4404
11	144	183	7	928	0.9536	0.1647	0.4404
12	144	183	7	928	0.9536	0.1647	0.4404
13	144	183	7	928	0.9536	0.1647	0.4404
14	144	183	7	928	0.9536	0.1647	0.4404
15	144	183	7	928	0.9536	0.1647	0.4404
16	144	183	7	928	0.9536	0.1647	0.4404
17	144	183	7	928	0.9536	0.1647	0.4404
18	144	183	7	928	0.9536	0.1647	0.4404
19	144	183	7	928	0.9536	0.1647	0.4404
20	144	183	7	928	0.9536	0.1647	0.4404
21	144	183	7	928	0.9536	0.1647	0.4404
22	144	183	7	928	0.9536	0.1647	0.4404
23	144	183	7	928	0.9536	0.1647	0.4404
24	144	183	7	928	0.9536	0.1647	0.4404
25	144	183	7	928	0.9536	0.1647	0.4404
26	144	183	7	928	0.9536	0.1647	0.4404
27	144	183	7	928	0.9536	0.1647	0.4404
28	144	183	7	928	0.9536	0.1647	0.4404
29	144	183	7	928	0.9536	0.1647	0.4404
30	144	183	7	928	0.9536	0.1647	0.4404
31	144	183	7	928	0.9536	0.1647	0.4404
32	144	183	7	928	0.9536	0.1647	0.4404
33	144	183	7	928	0.9536	0.1647	0.4404
34	144	183	7	928	0.9536	0.1647	0.4404
35	144	183	7	928	0.9536	0.1647	0.4404
36	144	183	7	928	0.9536	0.1647	0.4404
37	144	183	7	928	0.9536	0.1647	0.4404
38	144	183	7	928	0.9536	0.1647	0.4404
39	144	183	7	928	0.9536	0.1647	0.4404
40	144	183	7	928	0.9536	0.1647	0.4404
41	144	183	7	928	0.9536	0.1647	0.4404
42	144	183	7	928	0.9536	0.1647	0.4404
43	144	183	7	928	0.9536	0.1647	0.4404
44	144	183	7	928	0.9536	0.1647	0.4404
